Site ID,Longitude,Latitude,Sample Group,Date,Time Sampled,Source,Temp,DO,SC,Field pH,Lab pH,Alkalinity,Gas Rover Reading,F,Cl,SO4,Br,NO3,Al,Ba,Ca,Fe,K,Mg,Mn,Na,P,Si,Sr,Ti,Li,Be,Ni,Cu,As,Sr.1,Cd,Tl,Pb,U,87Sr/86Sr,87Sr/86Sr Error,87Sr/86Sr Ratio,Benzene,Toluene,Ethylbenzene,"m,p-Xylene",o-Xylene,Methane,Ethane,Propane,δ13C1(‰),δDC1(‰),δ13C2(‰),DIC (mg C/L),DIC (SD),DIC (mol/L C),[H+],[OH-],a0 [H2CO3],a1 [HCO3-],a2 [CO32-],Alk (eq/L),Alk (mg CaCO3/L),NEAR_UOG_DIST,Impoundment_DIST,Recent_Spill_DIST,TPI300,Near_Road_DIST,NEAR_MINE_DIST,NEAR_COG_DIST
Sample_011,-80.36,40.21,I,2024-06-28,11:30:00,well,14.9,9.81,566.0,7.29,7.55,279,<5,0.103,3.82,42.6,0.0202265372168284,0.431,0.01,0.07,96.4,0.04,1.76,13.1,0.06,20.6,0.01,5.8,0.54,bd,10.2,<0.05,0.27,0.14,0.05,471.55,<0.05,<0.05,0.65,0.2,0.711692,8e-06,,<0.04,<0.04,<0.04,<0.08,<0.06,0.00043,<0.0002,<0.0002,,,,67.2,0.4,0.0056,5.12861384e-08,1.9498446e-07,0.092747841,0.906366424,0.000885735,0.005085716,254.2857952,5053.965005,651.0051958,10519.61384,5.0,299.9917083141992,,
Sample_012,-80.21,40.33,C,2024-05-28,14:18:00,well,15.6,0.656,468.9,7.17,7.57,189,16,0.184,8.64,48.7,0.0299352750809061,0.147,<0.01,0.08,60.1,<0.005,1.17,16.6,0.06,8.8,0.03,8.96,0.35,bd,10.6,<0.05,0.3,3.8,3.43,348.38,<0.05,0.38,0.36,0.14,0.711494,8e-06,211.0,0.14,0.18,0.11,0.15,0.1,0.00077,<0.0002,<0.0002,,,,48.26,0.467,0.004021667,6.760829754e-08,1.479108388e-07,0.118784627,0.880562603,0.00065277,0.00354666,177.3330009,5545.500302,6267.803782,8916.900074,4.0,1096.506566829128,37.75002998556928,526.3553536519884
Sample_013,-80.13,40.16,Extra,2024-05-28,17:00:00,well,13.8,0.278,1103.0,8.65,8.73,461,13,1.39,70.0,12.4,0.065952184666117,0.067,<0.01,0.36,3.73,<0.005,1.05,1.21,0.01,232.0,0.05,4.18,0.22,bd,15.5,<0.05,<0.05,<0.05,0.08,230.82,<0.05,0.49,<0.05,<0.05,0.712443,1e-05,214.0,0.13,0.11,<0.04,0.12,<0.06,9.4,0.097,<0.0002,-70.18,-194.7,,116.92,0.328,0.009743333,2.238721139e-09,4.466835922e-06,0.00435002,0.973848234,0.021801746,0.009917836,495.8917957,2179.393989,7960.680242,5401.126163,4.0,214.8632009649143,0.0,
Sample_013-2,-80.14,40.16,Extra,2024-05-28,18:15:00,spring,12.9,6.0,630.0,6.88,7.05,249,<5,0.073,9.15,60,0.0202265372168284,3.27,<0.01,0.13,93.6,<0.005,1.56,14.8,0.01,12.0,0.03,6.23,0.43,bd,7.44,<0.05,0.42,0.19,0.17,408.27,<0.05,0.08,<0.05,0.4,0.712343,7e-06,216.0,<0.04,0.11,<0.04,<0.08,<0.06,,,,,,,70.06,1.246,0.005838333,1.3182567385564048e-07,7.585775750291854e-08,0.2081884947335504,0.79151058133635,0.0003009239300996,0.0046245604312095,231.22802156047504,2439.87333,7665.27243,5585.719395,1.0,1590.240485448337,0.0,
Sample_013-3,-80.11,40.13,HS/S,2023-05-28,19:30:00,well,14.4,5.05,495.3,6.85,7.47,233,16,0.07,3.55,26.2,0.0242718446601941,7.06,<0.01,0.17,73.1,<0.005,1.2,12.9,<0.005,4.77,0.03,4.86,0.26,bd,6.55,<0.05,0.25,23.2,0.07,263.32,<0.05,0.06,0.28,0.67,0.71144,1.1e-05,214.0,0.13,0.17,0.11,0.14,0.1,0.014,0.0002,<0.0002,,,,61.83,0.19,0.0051525,1.412537545e-07,7.079457844e-08,0.219809553,0.779913724,0.000276724,0.004021287,201.064332,1544.007593,9494.400929,1728.722508,4.0,1876.164304065313,0.0,
Sample_014,-80.37,40.21,I,2024-05-29,08:00:00,well,14.1,1.94,757.0,6.68,7.09,324,<5,0.057,17.6,41.8,0.0218446601941747,15.4,<0.01,0.12,127.0,<0.005,0.92,12.3,<0.005,6.66,0.02,5.42,0.47,bd,10.2,<0.05,0.27,0.66,<0.05,430.28,<0.05,<0.05,<0.05,0.39,0.711255,1e-05,217.0,0.14,0.21,0.11,0.14,0.1,<0.0001,<0.0002,<0.0002,,,,92.04,1.227,0.00767,2.089296131e-07,4.786300923e-08,0.294168836,0.705661888,0.000169276,0.005414862,270.7431156,4503.675091,489.7096854,10496.52715,5.0,745.0839323896499,,
Sample_015,-80.35,40.22,I,2024-05-29,10:00:00,well,13.3,5.13,682.0,6.27,6.76,178,<5,0.09,6.52,195,0.0283171521035598,0.115,<0.01,0.06,121.0,<0.005,0.93,4.51,0.03,6.13,0.02,5.35,0.28,bd,17.9,<0.05,1,3.43,<0.05,271.78,<0.05,<0.05,0.32,0.17,0.711511,1e-05,216.0,<0.04,0.13,0.11,0.12,0.09,<0.0001,<0.0001,<0.0002,,,,52.7,0.432,0.004391667,5.370317964e-07,1.862087137e-08,0.517239222,0.482715728,4.504965296e-05,0.002119804,105.9901925,4936.972046,1617.867987,11630.85185,6.0,634.9878556981731,,
Sample_016,-80.43,40.05,Extra,2024-05-29,12:30:00,spring,14.4,7.51,247.8,6.58,6.88,107,<5,0.052,0.684,16.2,0.023462783171521,0.219,<0.01,0.05,39.7,0.01,0.51,3.79,0.04,2.52,0.02,3.84,0.11,bd,0.27,<0.05,0.14,0.59,0.14,100.86,<0.05,<0.05,<0.05,0.13,0.712394,8e-06,213.0,<0.04,0.11,<0.04,0.12,<0.06,0.0017,<0.0002,<0.0002,,,,33.61,0.415,0.002800833,2.630267992e-07,3.801893963e-08,0.344136489,0.655738562,0.000124948,0.001837089,91.85446672,16809.61976,17098.74398,8567.538754,1.0,4605.942961328929,,
Sample_017,-80.38,40.16,C,2024-05-29,16:00:00,well,14.6,0.345,970.0,6.93,7.53,309,132,0.224,108.0,0.077,0.2621359223300971,1.1,<0.01,1.03,108.0,2.12,2.23,19.6,0.15,42.0,0.17,7.19,1.12,bd,5.29,<0.05,0.33,0.07,3.58,1045.55,<0.05,0.11,<0.05,<0.05,0.711925,9e-06,212.0,<0.04,0.11,0.11,0.12,<0.06,13,0.44,0.0004,-51.5,-174.7,-35.2,87.08,0.415,0.007256667,1.174897555e-07,8.511380382e-08,0.189839239,0.809815311,0.000345451,0.005881541,294.0770518,5971.022312,5223.483709,5351.955976,4.0,83.19296103860805,,
Sample_018,-80.4,40.11,Extra,2024-05-29,19:00:00,spring,11.9,8.3,540.0,7.34,7.38,199,<5,0.084,14.4,30.6,0.0266990291262135,27.8,<0.01,0.06,76.3,<0.005,1.18,16.2,<0.005,4.13,0.02,4.28,0.21,bd,4.43,<0.05,0.06,0.27,<0.05,202.58,<0.05,<0.05,0.05,0.93,0.71203,1e-05,215.0,<0.04,0.11,0.1,0.11,0.08,0.00063,<0.0002,<0.0002,,,,53.77,0.052,0.004480833,4.570881896e-08,2.187761624e-07,0.083494724,0.915501448,0.001003827,0.004111378,205.568922,10940.24589,10958.82761,3276.832396,1.0,1252.968188522656,716.1834411668489,
