Site ID,Source,Sample Group,Date,DO,SC,Field pH,Lab pH,Alkalinity,Gas Rover Reading,F,Cl,SO4,Br,NO3,Al,Ba,Ca,Fe,K,Mg,Mn,Na,P,Si,Sr,Ti,Li,Be,Ni,Cu,As,Cd,Tl,Pb,U,87Sr/86Sr,Benzene,Toluene,Ethylbenzene,"m,p-Xylene",o-Xylene,Xylene(total),Methane,Ethane,Propane,δ13C1(‰),δDC1(‰),δ13C2(‰),Near_Road_DIST,NEAR_UOG_DIST,Impoundment_DIST,Recent_Spill_DIST,NEAR_MINE_DIST,NEAR_COG_DIST,TPI300
Sample_019,well,Extra,2024-05-30,6.75,402.1,7.03,7.55,224.0,5.0,0.064,7.34,22.1,0.0461165048543689,8.32,0.01,0.16,74.4,0.005,0.77,12.4,0.005,9.77,0.02,5.13,0.32,,4.91,0.05,0.49,5.65,0.05,0.05,0.05,0.28,0.36,0.71186,0.13,0.93,0.13,0.15,0.1,0.25,0.0062,0.0002,0.0002,,,,1819.219399409718,8443.057445,4327.26556,11079.80754,,,4
Sample_020,well,Extra,2024-05-30,5.93,968.0,7.04,7.29,216.0,5.0,0.106,98.6,107.0,0.0370981038746908,2.25,0.01,0.05,95.8,0.005,1.74,19.7,0.005,59.9,0.01,4.82,1.12,,10.1,0.05,0.48,6.41,0.19,0.05,0.05,0.21,0.79,0.71237,0.14,0.23,0.12,0.14,0.1,0.24,0.00055,0.0002,0.0002,,,,169.1359046849088,11428.5153,8284.464468,10338.83649,0.0,,6
Sample_021,well,I,2024-05-30,0.341,712.0,7.93,8.02,288.0,5.0,1.1,32.7,18.1,0.1351132686084142,0.092,0.01,0.11,13.3,0.005,2.12,5.12,0.01,126.0,0.04,5.29,0.97,,20.6,0.05,0.08,0.1,0.11,0.05,0.06,0.18,0.05,0.711886,0.04,0.16,0.16,0.41,0.15,0.5599999999999999,0.99,0.00046,0.0002,-77.16,-204.0,,121.1900384288988,4648.346942,260.1208324,10059.81132,,800.2761772296238,4
Sample_023,well,S,2024-05-31,0.325,617.0,6.94,7.46,319.0,5.0,0.057,5.36,20.3,0.0331715210355987,0.137,0.01,0.14,73.5,0.005,2.29,25.0,0.01,16.8,0.02,6.85,0.67,,9.89,0.05,0.35,9.7,0.07,0.05,0.05,0.24,0.16,0.712803,0.04,0.04,0.11,0.12,0.06,0.18,0.027,0.0002,0.0002,,,,51.28210944418424,13058.66993,7559.760048,2413.138738,,508.9830061890661,2
Sample_024,well,Extra,2024-05-31,0.467,732.0,7.03,7.71,276.0,5.0,0.119,53.2,25.0,0.0370981038746908,1.23,0.01,0.15,88.5,0.03,1.31,19.6,0.03,25.9,0.02,6.09,0.67,,9.83,0.05,0.41,2.37,0.11,0.05,0.05,0.28,0.53,0.712079,0.13,0.12,0.11,0.12,0.09,0.21,0.0037,0.0001,0.0002,,,,2261.418597439568,10191.66215,6227.314993,11657.33982,,,2
Sample_025,well,C,2024-06-24,8.99,659.0,7.04,7.43,313.0,,0.068,7.94,44.3,0.0517799352750809,2.06,0.01,0.12,107.0,0.005,1.39,19.9,0.005,3.95,0.02,4.94,0.37,,6.45,0.05,0.18,1.07,0.12,0.05,0.3,0.36,0.52,0.711461,0.04,0.04,9.21,0.08,0.06,0.14,0.002,0.0002,0.0002,,,,1462.943087344492,5548.55815,5656.695386,9331.338586,,,4
Sample_026,well,I,2024-06-24,0.341,1539.0,6.77,7.18,270.0,5.0,0.042,307.0,32.9,0.0849134377576257,0.168,0.01,0.13,214.0,0.25,3.76,35.7,0.25,20.1,0.01,7.79,1.88,,17.5,0.05,0.12,1.77,0.06,0.05,0.21,0.25,0.05,0.712518,0.47,3.2,9.38,0.08,0.06,0.14,0.0045,0.0002,0.0002,,,,62.67124395909075,6699.662655,1622.06874,4992.081891,,,4
Sample_027,spring,I,2024-06-26,6.89,529.0,7.18,7.27,256.0,5.0,0.101,8.08,29.1,0.0250809061488673,0.581,0.01,0.1,93.2,0.005,0.06,9.26,0.005,4.2,0.01,4.78,0.2,,3.49,0.05,0.14,3.53,0.17,0.05,0.2,0.26,0.47,0.711904,0.73,2.95,9.17,0.08,0.06,0.14,0.0002,0.0002,0.0002,,,,767.1695755516685,7889.585099,1636.720737,8000.83244,,,4
Sample_028,spring,I,2024-06-25,8.2,406.9,7.04,7.48,182.0,5.0,0.149,2.03,20.2,0.023462783171521,12.9,0.01,0.14,77.2,0.005,0.19,2.86,0.005,2.61,0.02,4.4,0.14,,3.27,0.05,0.14,1.92,0.05,0.05,0.05,0.25,0.27,0.711478,0.77,3.17,9.21,0.08,0.06,0.14,0.0001,0.0001,0.0002,,,,37.82683236813735,5796.976597,1732.566626,4810.454422,,,2
Sample_030,well,I,2024-06-25,0.297,980.0,7.98,8.06,404.0,5.0,1.04,60.5,22.5,0.046925566343042,0.098,0.01,0.22,25.0,0.01,2.67,4.01,0.03,192.0,0.02,2.92,0.29,,9.68,0.05,0.29,0.23,0.13,0.05,0.05,0.44,0.35,0.712919,0.72,2.92,9.1,0.08,0.06,0.14,4.7,0.019,0.0002,-74.26,-202.3,,140.0564741932729,7226.136581,1377.624398,7451.707124,,,1
Sample_031,well,I,2024-06-25,0.403,864.0,7.11,7.54,265.0,5.0,0.106,115.0,14.7,0.0542071197411003,0.213,0.01,0.24,87.4,0.45,3.1,17.7,0.07,57.8,0.01,7.28,1.5,,11.7,0.05,0.21,0.09,0.05,0.05,0.05,0.4,0.05,0.712927,0.45,3.29,9.49,0.08,0.06,0.14,0.05,0.0001,0.0002,,,,935.0449251,7952.195683,1464.747463,7918.144804,,,4
Sample_032,well,I,2024-06-26,0.365,712.0,7.24,7.57,268.0,5.0,0.122,75.6,6.61,0.0889967637540453,0.265,0.01,0.43,66.3,0.13,2.97,14.3,0.03,58.3,0.01,7.89,1.1,,12.3,0.05,0.2,0.12,0.05,0.05,0.17,0.42,0.05,0.712946,0.04,0.04,0.36,0.08,0.06,0.14,0.08,0.0002,0.0002,,,,19.14753584514766,6948.312048,1211.294398,7151.023495,,,2
Sample_033,well,I,2024-06-26,1.93,687.0,6.95,7.42,313.0,5.0,0.066,18.2,35.1,0.0364077669902912,3.16,0.01,0.16,107.0,0.005,1.35,20.8,0.005,8.71,0.01,5.18,0.48,,6.94,0.05,0.6,4.88,0.22,0.05,0.05,1.59,0.34,0.711709,0.56,3.14,9.37,0.08,0.06,0.14,0.0002,0.0002,0.0002,,,,1392.609459432849,3492.904832,881.9004267,13738.95516,,,5
Sample_034,well,HS,2024-06-27,4.33,760.0,7.36,7.72,230.0,5.0,0.22,86.1,34.9,0.0396440129449838,6.34,0.01,0.11,60.4,0.005,2.66,20.0,0.005,62.9,0.01,5.06,1.33,,15.2,0.05,0.92,3.83,0.08,0.05,0.05,0.52,0.32,0.711559,0.04,0.04,0.04,0.08,0.06,0.14,0.00074,0.0001,0.0002,,,,815.9710979642491,1187.950635,2610.457838,6821.447122,130.7397127464032,,5
Sample_035,well,HS/I,2024-06-27,0.514,669.0,6.94,7.1,269.0,5.0,0.126,7.1,74.7,0.0307443365695792,0.143,0.01,0.06,106.0,0.13,1.67,14.7,0.43,13.3,0.01,7.09,0.63,,15.0,0.05,1.11,0.82,0.53,0.05,0.05,0.44,0.17,0.711544,0.04,0.04,0.04,0.08,0.06,0.14,0.0025,0.0001,0.0002,,,,2508.591341523679,1487.15354,1491.826417,7068.323567,,,4
Sample_036,well,C,2024-06-27,0.736,499.0,7.44,7.52,233.0,5.0,0.283,1.59,35.2,0.0283171521035598,0.306,0.01,0.06,46.6,0.005,2.59,19.3,0.005,31.8,0.01,5.66,1.77,,15.7,0.05,0.05,2.03,0.07,0.05,0.05,0.35,0.05,0.711647,0.04,2.86,9.15,0.08,0.06,0.14,0.00033,0.0001,0.0002,,,,1810.039021692315,6282.415955,5307.716184,10429.76846,,,4
Sample_037,well,HS,2024-06-27,7.28,856.0,7.08,7.69,252.0,5.0,0.057,102.0,38.5,0.0404530744336569,6.2,0.01,0.09,111.0,0.005,2.04,27.4,0.005,15.5,0.01,4.89,0.57,,7.55,0.05,0.46,8.09,0.42,0.05,0.05,0.64,0.68,0.712156,0.04,0.04,0.04,0.08,0.06,0.14,0.0006,0.0002,0.0002,,,,30.31223599420347,368.6643274,3317.83571,12627.37172,,,6
Sample_038,well,S,2024-06-27,7.26,589.0,7.03,7.2,263.0,5.0,0.102,4.5,39.5,0.029126213592233,7.52,0.01,0.07,76.7,0.005,2.67,25.6,0.005,9.87,0.02,5.74,0.61,,9.08,0.05,0.36,6.54,0.06,0.05,0.05,0.55,0.78,0.713063,0.04,0.04,0.04,0.08,0.06,0.14,0.0001,0.0001,0.0002,,,,3786.271483981786,2784.791798,7379.900907,1967.658394,766.3431404847315,,5
Sample_039,well,HS,2024-06-28,5.7,687.0,7.62,7.8,304.0,5.0,0.32,35.8,26.8,0.0444983818770226,0.794,0.01,0.24,33.8,0.005,2.69,12.8,0.005,99.9,0.01,5.52,1.06,,17.6,0.05,0.22,1.95,0.34,0.05,0.05,0.36,0.21,0.711672,0.39,3.13,9.17,0.08,0.06,0.14,0.00053,0.0001,0.0002,,,,175.8732954441849,1670.855298,2538.16801,7626.323327,192.7174605425059,,2
Sample_040,well,HS/I,2024-06-28,0.529,646.0,6.96,7.38,307.0,5.0,0.153,10.6,38.3,0.0200803212851405,0.146,0.01,0.11,90.1,0.01,1.76,27.9,0.07,5.7,0.01,9.62,0.68,,12.1,0.05,0.12,1.17,0.05,0.05,0.05,0.53,0.05,0.711141,0.74,2.92,9.21,0.08,0.06,0.14,0.0001,0.0001,0.0002,,,,2504.539840641884,789.1003345,1876.124736,5437.468241,460.6387812729719,,4
Sample_041,well,I,2024-06-28,0.413,654.0,7.01,7.47,269.0,5.0,0.105,21.7,53.0,0.0281124497991967,0.289,0.01,0.14,92.5,0.005,1.78,13.5,0.005,6.94,0.03,6.76,0.53,,13.2,0.05,0.45,5.01,0.09,0.05,0.05,0.52,0.21,0.712443,0.04,0.04,9.1,0.08,0.06,0.14,0.028,0.0002,0.0002,,,,2749.189001769991,9677.877789,1655.623605,8016.466164,,968.9117372167,2
Sample_042,well,HS/S,2024-07-15,2.93,671.0,7.19,7.6,385.0,5.0,0.365,16.2,32.9,0.0273092369477911,1.12,0.01,0.16,41.0,0.005,2.7,25.2,0.01,76.3,0.02,5.27,0.46,,13.1,0.05,0.78,4.67,0.05,0.05,0.21,0.2,0.26,0.711538,0.04,0.04,0.04,0.08,0.06,0.14,0.027,0.0002,0.0002,,,,2434.991612575428,1569.795792,10071.92552,1916.003352,0.0,,4
Sample_043,well,Extra,2024-07-15,8.4,2880.0,6.99,7.46,262.0,5.0,0.04,584.0,58.8,0.1236947791164658,9.08,0.01,0.16,295.0,0.005,4.8,53.7,0.005,190.0,0.01,6.15,1.07,,18.3,0.05,0.46,8.29,0.05,0.05,0.14,0.3,0.97,0.711157,0.04,0.04,0.04,0.08,0.06,0.14,0.0002,0.0001,0.0002,,,,1656.997606793987,4879.058164,6803.134953,7874.887304,35.50782816490928,,5
Sample_044,well,Extra,2024-07-15,0.94,230.0,7.48,7.08,43.0,5.0,0.196,11.0,39.4,0.0353413654618473,3.46,0.02,0.04,22.5,0.005,1.95,4.09,0.005,15.7,0.11,1.05,0.14,,2.24,0.05,0.47,1.47,0.14,0.05,0.05,0.15,0.07,0.711349,0.04,0.04,0.04,0.08,0.06,0.14,0.004,0.0002,0.0002,,,,4228.059492702575,4670.468787,6978.975171,4375.020803,0.0,,6
Sample_045,well,Extra,2024-07-15,7.87,923.0,6.72,7.02,282.0,5.0,0.102,2.78,225.0,0.0257028112449799,0.404,0.01,0.08,183.0,0.005,2.24,13.3,0.005,5.3,0.01,6.56,0.57,,19.7,0.05,0.28,9.46,0.05,0.05,0.05,0.22,0.33,0.712125,0.04,0.04,0.04,0.08,0.06,0.14,0.0001,0.0001,0.0002,,,,302.8549107630203,3821.920623,14064.53399,4374.332441,0.0,,6
Sample_046,spring,HS,2024-07-16,5.67,818.0,6.6,6.99,223.0,5.0,0.147,88.7,43.7,0.0401606425702811,16.5,0.01,0.09,86.8,0.005,3.47,22.9,0.005,44.6,0.03,5.6,0.45,,8.47,0.05,0.31,5.53,0.05,0.05,0.06,0.49,0.64,0.711821,0.04,0.04,0.04,0.08,0.06,0.14,0.0001,0.0001,0.0002,,,,2804.516021545283,899.5491181,2436.199765,5005.522299,56.73647486961064,,4
Sample_047,well,HS,2024-07-16,1.36,717.0,6.55,7.04,192.0,5.0,0.186,82.0,34.7,0.0273092369477911,10.6,0.01,0.05,66.8,0.005,2.62,16.8,0.05,55.0,0.04,5.58,0.25,,5.58,0.05,0.46,4.12,0.05,0.05,0.05,0.14,0.49,0.712099,0.04,0.04,0.04,0.08,0.06,0.14,0.0069,0.0002,0.0002,,,,2728.565143019382,797.5703176,2442.387858,5067.506682,3.839604549914083,,4
Sample_048,well,HS,2024-07-16,3.76,591.0,7.12,7.24,296.0,5.0,0.176,3.76,23.6,0.0208835341365461,1.52,0.01,0.12,50.5,0.005,3.05,16.2,0.01,62.2,0.03,8.9,1.41,,14.0,0.05,0.12,2.45,2.62,0.05,0.05,0.07,0.05,0.711587,0.04,0.04,0.04,0.08,0.06,0.14,0.0015,0.0001,0.0002,,,,3047.693964881639,1169.464231,2489.704947,4805.915122,316.0070173653378,,3
Sample_049,well,HS/I,2024-07-16,2.66,606.0,6.91,7.49,290.0,5.0,0.098,8.96,50.4,0.0208835341365461,0.378,0.01,0.13,102.0,0.01,1.61,14.3,0.09,5.39,0.01,8.33,0.41,,8.22,0.05,0.08,0.38,0.16,0.05,0.05,0.07,0.06,0.711802,0.04,0.04,0.04,0.08,0.06,0.14,0.0003,0.0002,0.0002,,,,783.5816084661877,1761.52179,1793.154183,13392.82778,,,6
Sample_050,well,I,2024-07-16,0.725,658.0,7.0,7.0,296.0,5.0,0.11,15.4,42.1,0.0257028112449799,0.304,0.01,0.1,101.0,0.09,1.59,20.0,0.26,7.69,0.01,7.52,0.45,,8.85,0.05,0.21,0.36,0.21,0.05,0.05,0.28,0.05,0.711287,0.04,0.04,0.04,0.08,0.06,0.14,0.0015,0.0002,0.0002,,,,398.2037373041228,3373.155094,1875.62438,12765.19371,,,2
Sample_051,well,HS,2024-07-17,3.02,1022.0,6.9,7.4,320.0,8.0,0.073,96.0,63.8,0.0305220883534136,9.07,0.01,0.1,116.0,0.01,2.67,26.4,0.005,67.1,0.01,5.11,0.56,,6.63,0.05,1.23,3.36,0.05,0.05,0.05,0.18,0.41,0.711354,0.04,0.04,0.04,0.08,0.06,0.14,0.0001,0.0001,0.0002,,,,52.41313433085784,691.2160397,5724.505272,13505.85061,150.7854280058729,,5
Sample_052,well,C,2024-07-17,9.92,813.0,8.1,7.91,370.0,5.0,0.999,30.3,24.4,0.0827309236947791,1.58,0.01,0.07,8.35,0.005,2.03,3.1,0.005,191.0,0.04,4.2,0.27,,16.7,0.05,0.24,0.29,1.94,0.05,0.05,0.06,0.05,0.711756,0.04,0.04,0.04,0.08,0.06,0.14,0.017,0.0002,0.0002,,,,1233.542260040228,5243.691011,5102.716329,10601.66646,,,4
Sample_053,well,Extra,2024-07-17,0.321,987.0,8.87,8.86,441.0,5.0,0.98,60.6,0.06,0.3461847389558233,0.196,0.01,0.21,1.48,0.005,1.33,0.66,0.01,249.0,0.29,4.55,0.1,,10.3,0.05,0.05,0.07,1.14,0.05,0.05,0.05,0.05,0.712594,0.04,0.04,0.04,0.08,0.06,0.14,6.0,0.04,0.0002,-63.5,-198.4,,108.8646692119359,14928.62016,6936.241155,4091.56336,,,2
Sample_054,well,Extra,2024-07-17,6.13,620.0,7.04,7.02,227.0,5.0,0.096,37.5,30.5,0.0273092369477911,5.78,0.01,0.14,87.1,0.005,1.65,13.2,0.005,23.5,0.02,4.84,0.41,,3.99,0.05,0.25,14.1,0.05,0.05,0.05,0.16,0.49,0.711965,0.04,0.04,0.04,0.08,0.06,0.14,0.016,0.0002,0.0002,,,,722.0893921708403,3209.524276,5927.362693,8748.164864,,,4
Sample_055,well,Extra,2024-07-18,1.32,1792.0,7.61,7.83,668.0,12.0,1.84,178.0,13.6,1.0096385542168675,0.229,0.01,0.14,5.55,0.01,1.84,1.5,0.03,459.0,0.04,3.23,0.26,,12.0,0.05,0.37,0.85,1.24,0.05,0.05,0.07,0.07,0.712441,0.04,0.04,0.04,0.08,0.06,0.14,13.0,0.24,0.0054,-64.31,-188.0,,5800.230696990197,23624.30072,22674.37775,8626.92501,0.0,,6
Sample_056,well,Extra,2024-07-18,1.73,589.0,7.29,7.51,276.0,5.0,0.064,8.17,23.8,0.0337349397590361,1.3,0.01,0.25,73.1,0.005,1.99,31.4,0.005,8.85,0.01,4.62,1.04,,6.98,0.05,0.06,0.99,0.05,0.05,0.05,0.05,0.32,0.711498,0.04,0.04,0.04,0.08,0.06,0.14,0.019,0.00033,0.0002,,,,619.2671980779597,3852.114518,5577.322046,11739.15356,,,2
Sample_057,well,HS/I,2024-07-19,0.999,615.0,6.88,7.41,224.0,5.0,0.161,40.8,34.6,0.0329317269076305,3.41,0.01,0.13,74.4,0.005,1.45,14.0,0.005,31.7,0.01,4.93,0.39,,5.12,0.05,0.14,1.93,0.17,0.05,0.05,0.3,0.54,0.7115,0.49,0.95,0.04,0.08,0.28,0.36,0.00088,0.0002,0.0002,,,,1053.311150080893,657.1243631,727.1876248,7628.552286,,,2
Sample_058,spring,HS,2024-07-19,5.52,580.0,6.94,7.55,274.0,5.0,0.094,1.45,42.3,0.0144578313253012,1.87,0.01,0.16,104.0,0.005,1.07,11.2,0.005,4.02,0.01,4.86,0.33,,4.85,0.05,0.08,3.07,0.05,0.05,0.05,0.08,0.48,0.711415,0.04,0.04,0.04,0.08,0.06,0.14,0.00035,0.0002,0.0002,,,,178.2948700832224,1091.52708,6679.698226,13993.31266,0.0,,4
Sample_059,well,HS,2024-08-12,9.13,447.6,6.92,7.16,201.0,5.0,0.115,4.03,25.8,0.0400925212027756,5.15,0.01,0.11,61.2,0.005,1.36,17.2,0.005,5.4,0.02,5.42,0.41,,8.44,0.05,0.22,4.91,0.42,0.05,0.08,0.14,0.44,0.711306,0.04,0.04,0.04,0.08,0.06,0.14,0.0002,0.0002,0.0002,,,,1082.274410390736,1063.619549,2902.301055,6450.850392,82.19862781647156,,4
